| Label | nr. | Gew. | Key | O/D | Mis | Max | Gem  | P  | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+-----+-----+-----+------+----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    |     | 1   | 125 | 4   | 2.58 | 64 | 1.34| 0.34| 53  | 44  | 83 |
| 2     | 2   | 1    |     | 3   | 467 | 4   | 1.97 | 49 | 1.28| 0.32| 52  | 44  | 83 |
| 3     | 3   | 1    |     | 2   | 383 | 2   | 0.76 | 38 | 0.63| 0.32| 35  | 31  | 83 |
| 4     | 4   | 1    |     | 1   | 156 | 2   | 1.77 | 88 | 0.48| 0.24| 24  | 20  | 83 |
| 5     | 5   | 1    |     | 1   | 217 | 3   | 1.64 | 55 | 1.35| 0.45| 31  | 21  | 84 |
| 6#    | 6   | 1    |     | 1   | 110 | 2   | 1.01 | 50 | 0.84| 0.42| 37  | 31  | 83 |
| 7     | 7   | 1    |     | 1   | 251 | 2   | 1.41 | 71 | 0.82| 0.41| 32  | 26  | 83 |
| 8     | 8   | 1    |     | 1   |  96 | 5   | 3.64 | 73 | 1.41| 0.28| 59  | 51  | 82 |
| 9     | 9   | 1    |     | 9   |1743 | 4   | 0.68 | 17 | 1.06| 0.27| 53  | 47  | 83 |
| 10    | 10  | 1    |     | 9   |1629 | 4   | 2.34 | 59 | 1.39| 0.35| 55  | 47  | 82 |
| 11#   | 11  | 1    |     | 1   | 153 | 4   | 3.05 | 76 | 1.19| 0.30| 52  | 44  | 83 |
| 12    | 12  | 1    |     | 2   | 338 | 3   | 2.01 | 67 | 1.06| 0.35| 39  | 31  | 83 |
| 13    | 13  | 1    |     | 2   | 427 | 5   | 3.38 | 68 | 1.44| 0.29| 55  | 46  | 83 |
| 14    | 14  | 1    |     | 5   | 995 | 3   | 2.20 | 73 | 1.03| 0.34| 48  | 41  | 83 |
| 15    | 15  | 1    |     | 9   |1762 | 4   | 2.28 | 57 | 1.70| 0.42| 57  | 47  | 83 |
| 16#   | 16  | 1    |     | 1   | 207 | 3   | 2.24 | 75 | 1.01| 0.34| 41  | 34  | 83 |
| 17    | 17  | 1    |     | 4   | 801 | 1   | 0.54 | 54 | 0.50| 0.50| 31  | 27  | 83 |
| 18    | 18  | 1    |     | 3   | 524 | 3   | 1.36 | 45 | 1.19| 0.40| 52  | 45  | 83 |
| 19    | 19  | 1    |     | 3   | 583 | 3   | 2.54 | 85 | 1.04| 0.35| 45  | 38  | 83 |
| 20    | 20  | 1    |     | 3   | 574 | 3   | 2.20 | 73 | 0.96| 0.32| 50  | 44  | 83 |
| 21    | 21  | 1    |     | 4   | 822 | 1   | 0.66 | 66 | 0.47| 0.47| 30  | 27  | 83 |
| 22    | 22  | 1    |     | 5   | 939 | 1   | 0.17 | 17 | 0.38| 0.38| 20  | 17  | 83 |
| 23#   | 23  | 1    |     | 3   | 569 | 6   | 2.71 | 45 | 1.91| 0.32| 62  | 52  | 82 |
| 24    | 24  | 1    |     | 6   |1079 | 3   | 2.04 | 68 | 1.03| 0.34| 38  | 30  | 83 |
| 25    | 25  | 1    |     | 7   |1331 | 3   | 1.95 | 65 | 1.23| 0.41| 52  | 45  | 83 |
