#+TITLE: CENTRAAL EXAMEN: VWO 2016:2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAV161VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
|------------------|------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------|
| 1            | Rode LED, weerstand                                                   | Bereken de grootte van de weerstand \(R\) in de schakeling.                                                        | Formules van Ohm en spanning-stroom-verhouding.                                    |
| 2            | Groene LED, weerstand                                                 | Beredeneer of de waarde van \(R\) groter of kleiner moet worden bij vervanging door een groene LED.                 | Begrip van LED-karakteristieken en spanning-stroomrelaties.                        |
| 3            | Energieniveaus in een LED                                             | Leg uit welk schema in figuur 4 juist het lichtproces in een LED weergeeft.                                        | Begrip van energieniveaus en elektron-overgangen in LED's.                         |
| 4            | Blauwe LED, fotonen                                                   | Bereken het percentage elektronen dat een foton genereert in een blauwe LED.                                       | Berekeningen met \(P = \frac{E}{t}\) en \(E = h \cdot f\).                         |
| 5            | Geostationaire satelliet                                              | Bereken de geostationaire hoogte van een satelliet.                                                                | Begrip van zwaartekracht en middelpuntzoekende kracht.                             |
| 6            | Kabel, contragewicht                                                  | Leg uit waarom de kabel strak blijft gespannen door het contragewicht.                                             | Begrip van krachtenbalans op grote hoogte.                                         |
| 7            | Ruimtelift, brandstofmodel                                            | Omschrijf modelregel 8 en vul modelregel 9 aan. Leg uit waarom \(v\) constant blijft.                               | Analyse van krachten, verbranding en energiebalans.                                |
| 8            | Brandstofgebruik, ruimtelift                                          | Leg uit waarom de lift met minder dan \(8,8 \times 10^3\) kg brandstof toch boven komt.                             | Begrip van energieverbruik en krachten in een model.                               |
| 9            | Ruimtelift, resulterende kracht                                       | Bereken de resulterende kracht op de lift op \(t = 1,0\) dag.                                                      | Begrip van krachtenbalans en versnelling.                                          |
| 10           | Ruimtelift, hoogte                                                    | Bereken de hoogte van de lift boven de aarde op \(t = 1,0\) dag.                                                   | Afstand- en snelheidsberekeningen uit grafieken.                                   |
| 11           | Strouhalgetal                                                        | Laat zien dat het Strouhalgetal \(St\) dimensieloos is.                                                            | Begrip van dimensies en grootheden.                                                |
| 12           | Formule van Strouhal                                                  | Toon aan dat \(St = \frac{d}{x}\) volgt uit de gegeven formule.                                                    | Algebra en dimensieanalyse.                                                       |
| 13           | Zilvermeeuw, vliegsnelheid                                            | Bereken de vliegsnelheid van een zilvermeeuw uit de foto's.                                                        | Afstanden en tijdsintervallen analyseren.                                          |
| 14           | Vogelvleugels, Strouhalgetal                                          | Bepaal de slaggrootte van een grotere vogel en leg uit hoe Strouhal wordt bepaald.                                  | Analyse van grafieken en dimensieloze grootheden.                                  |
| 15           | Schaalfactor, vogels                                                  | Bereken hoe groot \(p\) is in \(f \propto k^p\) en toon aan dat \(v \propto k^{1/2}\).                              | Schaalwetten en afleidingen van verhoudingen.                                      |
| 16           | Waterstofjodide, trillingsfrequentie                                  | Bereken de veerconstante van het HI-molecuul.                                                                      | Harmonieke trillingen en formules voor veerkracht.                                 |
| 17           | Waarschijnlijkheidsverdeling, trillend H-atoom                       | Leg uit waarom \(P(u)\) een minimum bij \(u = 0\) heeft en wat de invloed van energie is op \(P(u)\).               | Analyse van trillingsenergie en waarschijnlijkheidsverdelingen.                    |
| 18           | Energieniveaus, lijnenspectrum                                        | Leg uit waarom de afstanden tussen energieniveaus constant zijn en bereken \(E_1 - E_0\) in eV.                    | Lijnenspectra en energieberekeningen.                                              |
| 19           | Energieput, quantumfysica                                            | Geef aan hoe energieniveaus zich gedragen in verschillende quantumfysische modellen.                                | Begrip van quantumfysica en energieputten.                                         |
| 20           | Onbepaaldheidsrelatie, quantumfysica                                  | Leg uit waarom het H-atoom in HI niet stilstaat, met de onzekerheidsrelatie van Heisenberg.                         | Onzekerheidsrelatie en quantummechanica.                                           |
| 21           | Calcium-47, radioactief verval                                        | Bereken de massa van calcium-47 die een activiteit van 2,5 MBq heeft.                                              | Formules voor activiteit en vervalprocessen.                                       |
| 22           | Gammadetector, loodplaat                                              | Leg uit waarom detectie door lood en gaten nodig is.                                                               | Begrip van stralingsdetectie en afscherming.                                       |
| 23           | Absorptiecorrectie, gammastraling                                     | Bereken de correctiefactor voor absorptie door lucht en spierweefsel.                                              | Absorptiecoëfficiënten en correctieberekeningen.                                   |
| 24           | Halveringstijden calcium-47 en scandium-47                           | Bepaal of de halveringstijd van scandium-47 groter of kleiner is dan die van calcium-47.                           | Analyse van activiteit en vervalcurves.                                            |
| 25           | Diagnostische beeldvorming                                            | Beargumenteer waarom botonderzoek niet kan worden uitgevoerd met MRI of echoscopie.                                | Vergelijking van technieken en hun toepassingen.                                   |

* NAV162VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
|------------------|------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------|
| 1            | Staande golf, geluid in fles                                          | Toon aan dat de grondfrequentie \(2,4 \times 10^2\) Hz klopt.                                                      | Berekeningen met frequentie, periode en staande golven.                           |
| 2            | Geluidssnelheid, staande golven                                       | Toon aan dat de berekende geluidssnelheid niet klopt met BiNaS en dat het geen boventoon is.                        | Berekeningen met \(v = f \lambda\) en analyse van staande golven.                 |
| 3            | Volume van lucht in fles                                              | Beschrijf een methode om het volume van lucht in de fles te meten.                                                  | Experimentele methoden voor volume-meting.                                        |
| 4            | Frequentie-volume relatie                                             | Verklaar de eenheid van de horizontale as in figuur 4.                                                              | Begrip van frequentie-volume relaties en eenheidsanalyse.                         |
| 5            | Geluidssnelheid, Helmholtz-formule                                    | Bereken de geluidssnelheid en controleer of de Helmholtz-formule toepasbaar is.                                     | Berekeningen met de Helmholtz-formule.                                            |
| 6            | Significante cijfers                                                  | Leg uit waarom het aantal significante cijfers toeneemt in de helling van de grafiek.                               | Begrip van nauwkeurigheid en data-analyse.                                        |
| 7            | Kernreacties, Thalliumscintigrafie                                    | Geef de reactievergelijkingen voor de productie van Tl-201.                                                         | Kennis van kernreacties en isotopen.                                              |
| 8            | Radioactief verval, K-vangst                                          | Leg uit waarom K-vangst wordt gekozen voor dit onderzoek.                                                           | Begrip van vervalprocessen en stralingseffecten.                                  |
| 9            | Activiteit, halveringstijd, massa                                     | Bereken de massa van Tl-201 met een activiteit van 56 MBq.                                                          | Relatie tussen activiteit, halveringstijd en massa.                               |
| 10           | Absorptie van straling                                                | Bereken of absorptie van straling tussen punt A en B verwaarloosbaar is.                                            | Stralingsdemping en absorptieanalyse.                                             |
| 11           | Afname van stralingsintensiteit                                       | Bereken de afnamefactor van de stralingsintensiteit van punt A naar punt B.                                         | Toepassing van de kwadratenwet.                                                   |
| 12           | Jupiter, fly-by                                                      | Leg uit waarom een stilstaande planeet geen snelheidswinst oplevert bij een fly-by.                                 | Begrip van energiebehoud en gravitatiekrachten.                                   |
| 13           | Snelheid van Jupiter                                                  | Bereken de baansnelheid van Jupiter.                                                                                | Berekening met baansnelheidformules en gegevens uit BiNaS.                        |
| 14           | Fly-by, kinetische energie                                            | Leg uit waarom de maximale winst optreedt als de verkenner tegen de planeetbeweging in beweegt.                     | Begrip van energieoverdracht in een bewegend referentiekader.                     |
| 15           | Fly-by, kinetische energie-overdracht                                 | Leg uit waarom de snelheidsverandering van Jupiter verwaarloosbaar is.                                              | Analyse van massa- en snelheidsverhoudingen.                                      |
